mse_similarity_score,pcs,model_family,highlighted
0.9113570683507126,0.018442664112315103,PRnet,True
0.9044072255214243,0.03354882149084697,LR,True
0.8740311810951413,0.01430874366630549,baseMean,True
0.9013427930651963,0.013996984578251187,CPA,True
0.9202592387395798,0.025131932659143073,MLP,True
0.8788251248031399,0.03249848803844979,cycleCDR,True
0.8266452934464587,0.012558832694623856,PrePR-CT,True
0.8237685869170216,0.0055999320284123785,LR,True
0.930545825935416,0.030580263128508502,STATE-ST,True
0.8714890635505288,0.00856709411573074,cycleCDR,True
0.8469365677853148,0.02831111364318359,chemCPA,True
0.917502748867046,0.028679087838482026,chemCPA,True
0.8980704946721759,0.02134469805504716,CPA,True
0.8982280803257799,0.0189337178924101,STATE-ST,True
0.9356260799093392,0.0498435081005795,cycleCDR,True
0.8816432605923039,0.00020312441299565615,PRnet,True
0.8854729336930718,0.026286553927818392,Squidiff,True
0.90093538603695,0.041340486050957734,MAP,True
0.8466190837608789,0.01064804913875145,PerturbDiff,True
0.866427603956469,0.006651673214645106,XPert,True
0.9453050689371653,0.019670253873661402,biolord,True
0.8894214940648701,0.018916332940712953,baseMean,True
0.9442226789513822,0.04531812445652207,PRnet,True
0.9160761057361149,0.01971026390651598,PRnet,True
0.9245055578189627,0.004090808002452944,chemCPA,True
0.8766658452133326,0.0174208288947747,CPA,True
0.9152332028220135,0.020790472301588862,PrePR-CT,True
0.921350600096598,0.019357845958363682,PRnet,True
0.8839470161029767,0.04015783434100622,chemCPA,True
0.9018182739550789,0.047128918846919304,chemCPA,True
0.9479434543543976,0.036092389167759954,PRnet,True
0.8966595817503156,0.013680201898129884,XPert,True
0.8689696605595824,0.024775667129736185,PerturbDiff,True
0.8923424508727512,0.015502026017418364,PerturbDiff,True
0.8958951784184372,0.015994909780855174,biolord,True
0.9463731456580985,0.028163347925011833,LR,True
0.8702699451043358,0.028715279613733515,cycleCDR,True
0.9204176730522409,0.006936003995756047,MAP,True
0.8873564713367192,0.032109286763501374,PRnet,True
0.8419440359157521,0.026716026317967788,MAP,True
0.9196346496235968,0.0026458244924570124,biolord,True
0.9325759442834509,0.027526883469466027,PrePR-CT,True
0.928292681596251,0.007358091828500301,MAP,True
0.9373049720147822,0.008961952567606271,chemCPA,True
0.8384828577957004,0.00569613983031297,CPA,True
0.9321653731866293,0.01599275301542759,MLP,True
0.9451251605097275,0.008961387278526644,Squidiff,True
0.884658384831783,0.023322684186707403,cycleCDR,True
0.8665080085221478,0.03990100044289736,biolord,True
0.8850981363356392,0.028927924120780598,PrePR-CT,True
0.8828842064677386,0.0515238952971538,STATE-ST,True
0.8744612349537246,0.04242440743545616,Squidiff,True
0.9184106296169214,0.039257490623857305,MAP,True
0.9354625029378437,0.029149888641954357,MLP,True
0.8401579014465395,0.012948075433671283,cycleCDR,True
0.9491853522835269,0.03408924650100902,XPert,True
0.8517361434630573,0.03963294796872811,Squidiff,True
0.8982557322436344,0.02366432052356316,XPert,True
0.9349215363661049,0.027678658388766403,PRnet,True
0.9013229325740251,0.021291057995519818,LR,True
0.8679796695737698,0.04113613357567261,STATE-ST,True
0.873249922609442,0.03608985411850851,LR,True
0.9215632268384906,0.04828211955869734,PRnet,True
0.9394630777936727,0.048160354069579296,MAP,True
0.9543653995774025,0.03082869592335202,XPert,True
0.8773134620121478,0.014138566039909336,MAP,True
0.846049093237574,0.00632146269874846,XPert,True
0.9328936445299675,0.009580979872961854,biolord,True
0.8375299847564276,0.004576231438008575,CPA,True
0.804562047005222,0.014220391451605334,PRnet,True
0.8759618877888791,0.024689173573359965,CPA,True
0.8720283061450612,0.0052228141326694615,STATE-ST,True
0.8444349513094298,0.034563632896458585,PerturbDiff,True
0.8698308834482003,0.0346459768754468,LR,True
0.8891315055061711,0.027484936098666795,chemCPA,True
0.9056728413042703,0.01433154383558129,LR,True
0.9202743988010558,0.02190411105825137,MLP,True
0.9185436025541146,0.004871238353122931,STATE-ST,True
0.8751683831638247,0.006953510626117142,STATE-ST,True
0.8916332915954812,0.0391201810472723,chemCPA,True
0.9022958983601921,0.012219845365362251,cycleCDR,True
0.9139639024378691,0.020645524123182258,MLP,True
0.9363911842126608,0.018756772098892552,PRnet,True
0.8680882358853742,0.004313994794459986,MAP,True
0.8961501093407465,0.017765743582647646,cycleCDR,True
0.8827591140288347,0.038001791530526415,baseMean,True
0.9185043069517638,0.018084142029729435,STATE-ST,True
0.9023813427820646,0.0023967040717833787,MLP,True
0.9265401932143196,0.018279072823814167,PrePR-CT,True
0.8500477570032249,0.015412491087882056,chemCPA,True
0.9534314951899123,0.0033514083207675702,chemCPA,True
0.9389752451062161,0.02209634743472654,STATE-ST,True
0.8986970786755326,0.03579295117326947,Squidiff,True
0.912854885639622,0.013658055817683527,Squidiff,True
0.8677750187339416,0.030839002392801948,MAP,True
0.8255033171574996,0.00412629811022259,CPA,True
0.9575410550101928,0.02350773883060639,PrePR-CT,True
0.9488258423174073,0.003196258430065049,MAP,True
0.8552062127492128,0.016066577176251227,chemCPA,True
0.8696907817498882,0.04007729557111805,Squidiff,True
0.9378145864259397,0.004192430006835172,MAP,True
0.9170314137365847,0.026749908378546114,MLP,True
0.9176690863016799,0.021375532387117712,MLP,True
0.9187172962015351,0.05165756125299011,cycleCDR,True
0.8195805925362659,0.039892945363526465,XPert,True
0.9245316050836182,0.03311474903591852,XPert,True
0.8645120242140603,0.029259230869870118,baseMean,True
0.9545231191394199,0.0009951060327208674,STATE-ST,True
